dataset,model,seed,status,lr,batch_size,epochs_logged,best_epoch,val_metric,val_best,primary_name,secondary_name,test_ba,test_primary,test_secondary,published_value,published_std,diff,checkpoint,log
MentalArithmetic,cbramod,seed46,done,0.0001,64,24,14,pr_auc,0.8241,pr_auc,roc_auc,0.75694,0.52815,0.83666,0.6267,0.0099,-0.09855000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/mentalarithmetic/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/mentalarithmetic/20260919_085256_mentalarithmetic_pid3324752.log
SEED-V,cbramod,seed42,done,0.0001,32,30,20,kappa,0.2042,kappa,f1,0.38334,0.23537,0.3923,0.2569,0.0143,-0.02153000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/seed_v/20260919_054746_seed_v_pid3280311.log
SEED-V,cbramod,seed43,done,0.0001,32,20,10,kappa,0.20951,kappa,f1,0.38529,0.23582,0.39293,0.2569,0.0143,-0.021080000000000015,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/seed_v/20260919_061716_seed_v_pid3287421.log
SEED-V,cbramod,seed44,done,0.0001,32,20,10,kappa,0.20599,kappa,f1,0.37825,0.22602,0.38611,0.2569,0.0143,-0.03088000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/seed_v/20260919_063642_seed_v_pid3291955.log
SEED-V,cbramod,seed45,done,0.0001,32,16,6,kappa,0.20831,kappa,f1,0.38271,0.23326,0.38963,0.2569,0.0143,-0.023640000000000022,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/seed_v/20260919_065558_seed_v_pid3296388.log
SEED-V,cbramod,seed46,done,0.0001,32,18,8,kappa,0.20456,kappa,f1,0.37653,0.22576,0.38389,0.2569,0.0143,-0.03114000000000003,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/seed_v/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/seed_v/20260919_071109_seed_v_pid3299801.log
SHU-MI,cbramod,seed42,done,0.0001,32,10,5,pr_auc,0.77361,pr_auc,roc_auc,0.62786,0.71387,0.70155,0.7139,0.0088,-2.999999999997449e-05,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/shu_mi/20260919_072830_shu_mi_pid3303963.log
SHU-MI,cbramod,seed43,done,0.0001,32,10,6,pr_auc,0.7712,pr_auc,roc_auc,0.62997,0.70292,0.68693,0.7139,0.0088,-0.01097999999999999,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/shu_mi/20260919_073037_shu_mi_pid3304542.log
SHU-MI,cbramod,seed44,done,0.0001,32,10,7,pr_auc,0.77386,pr_auc,roc_auc,0.6228,0.69973,0.68719,0.7139,0.0088,-0.014170000000000016,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/shu_mi/20260919_073240_shu_mi_pid3305112.log
SHU-MI,cbramod,seed45,done,0.0001,32,10,5,pr_auc,0.77471,pr_auc,roc_auc,0.6246,0.71007,0.6962,0.7139,0.0088,-0.00383,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/shu_mi/20260919_073440_shu_mi_pid3305650.log
SHU-MI,cbramod,seed46,done,0.0001,32,10,7,pr_auc,0.77456,pr_auc,roc_auc,0.61559,0.6841,0.66571,0.7139,0.0088,-0.029799999999999938,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/shu_mi/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed46/vision/shu_mi/20260919_073641_shu_mi_pid3306208.log
TUEV,cbramod,seed42,done,0.0001,32,10,1,kappa,0.52143,kappa,f1,0.53138,0.60921,0.79426,0.6744,0.0121,-0.06518999999999997,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed42/vision/tuev/20260919_043644_tuev_pid3263082.log
TUEV,cbramod,seed43,done,0.0001,32,10,1,kappa,0.49194,kappa,f1,0.48536,0.54477,0.76231,0.6744,0.0121,-0.12963000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed43/vision/tuev/20260919_045106_tuev_pid3266502.log
TUEV,cbramod,seed44,done,0.0001,32,10,1,kappa,0.51206,kappa,f1,0.51583,0.57192,0.77492,0.6744,0.0121,-0.10248000000000002,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed44/vision/tuev/20260919_050509_tuev_pid3269819.log
TUEV,cbramod,seed45,done,0.0001,32,10,1,kappa,0.52028,kappa,f1,0.49565,0.56025,0.76932,0.6744,0.0121,-0.11414999999999997,experiments/checkpoints/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/tuev/best.pth,experiments/logs/foundation_rerun_v2_warm3_ema995_wd5e4_5seed_v1/cbramod/seed45/vision/tuev/20260919_051915_tuev_pid3273133.log
